Date, Run,  Minimum,  Maximum,  Mean 
21.12.2017 16:16:08, 0, 6.061872710512855, 22.39094787545972, 13.47682169109799
21.12.2017 16:16:27, 1, 5.52941433989247, 18.583172804631754, 8.344262956562128
21.12.2017 16:16:40, 2, 5.253722784110779, 19.912825453823306, 7.424528640742061
21.12.2017 16:16:53, 3, 5.0942919850619255, 18.706379655676905, 6.9598379494230915
21.12.2017 16:17:06, 4, 5.037157173961458, 18.763456254510448, 6.745261430393624
21.12.2017 16:17:19, 5, 5.024353256621414, 18.060623801218533, 6.573910463968643
21.12.2017 16:17:32, 6, 4.9691909348189975, 17.274992002918744, 6.466265550358884
21.12.2017 16:17:45, 7, 4.965074872803706, 16.50096209099199, 6.423430682810257
21.12.2017 16:17:58, 8, 4.96263475695177, 17.248662634483008, 6.368250165778933
21.12.2017 16:18:11, 9, 4.9606571656271745, 18.71649278130867, 6.358833528358695
21.12.2017 16:18:24, 10, 4.960428271586868, 17.10112015857704, 6.328697926589947
21.12.2017 16:18:38, 11, 4.960428271586868, 17.739419598108007, 6.329616011041984
21.12.2017 16:18:50, 12, 4.960428271586868, 18.141899200416987, 6.337714660789997
21.12.2017 16:19:04, 13, 4.960428271586868, 16.732569650487477, 6.326237863845316
21.12.2017 16:19:16, 14, 4.960428271586868, 17.934654424305577, 6.338816439918848
